method,imp_id,syn_id,cosine_mean,js_mean,wasserstein_mean,ds_idx
ecdf,1.0,4.0,0.11185398858306264,0.03186376577393514,0.01990786117330879,4
ecdf,1.0,5.0,0.10961357203298269,0.03212987028032148,0.01680270132229285,5
ecdf,1.0,6.0,0.11368195239825996,0.032001504961199516,0.018799491787798075,6
ecdf,1.0,7.0,0.10826645435572602,0.03142974642090181,0.017493167199927294,7
ecdf,1.0,8.0,0.11076100235836842,0.03229305149987183,0.024717349637775023,8
ecdf,1.0,9.0,0.11194234461028055,0.031983900864259264,0.0159510539558667,9
ecdf,1.0,10.0,0.11087554116757181,0.031151850160761656,0.011221885446984294,10
ecdf,2.0,1.0,0.10428136631804441,0.03203773355853587,0.024200861468375644,11
ecdf,2.0,2.0,0.10474947259962135,0.03285148799706393,0.02639271821751784,12
ecdf,2.0,3.0,0.10421347812614945,0.0324051374567953,0.02079209870484882,13
ecdf,2.0,4.0,0.10011356480596847,0.03181335227320951,0.007700716699079529,14
ecdf,2.0,5.0,0.10177360702680119,0.03234875773870538,0.017724401171235395,15
ecdf,2.0,6.0,0.10638868246747449,0.03256628170407684,0.02885295566179218,16
ecdf,2.0,7.0,0.10387028454462748,0.031725616920689696,0.024257273403380415,17
ecdf,2.0,8.0,0.10865815956919744,0.03288015840057303,0.04176016678404756,18
ecdf,2.0,9.0,0.10715069950247588,0.032755991290155585,0.025765613390679877,19
ecdf,2.0,10.0,0.10398534866321885,0.03146917751468,0.02118953560443426,20
ecdf,3.0,1.0,0.10112541296278584,0.03259459951193288,0.02201238012617255,21
ecdf,3.0,2.0,0.10136126343781444,0.031238518005515477,0.010631506134859161,22
ecdf,3.0,3.0,0.10152651093855972,0.03256588227816572,0.020783590333377032,23
ecdf,3.0,4.0,0.10718376901302029,0.03153846696157972,0.03166833122578485,24
ecdf,3.0,5.0,0.1028396510169424,0.032047326830046796,0.02291659999372814,25
ecdf,3.0,6.0,0.1047592567835169,0.03191328119725343,0.028861349430659194,26
ecdf,3.0,7.0,0.10456325350108595,0.032811616692804565,0.0335653726554407,27
ecdf,3.0,8.0,0.10552915007765733,0.0321215186569568,0.0254425377641178,28
ecdf,3.0,9.0,0.1069521028050728,0.03246272849336509,0.031606199711480557,29
ecdf,3.0,10.0,0.10268266332430886,0.031935808758739956,0.021454919192258178,30
ecdf,4.0,1.0,0.09690845412373687,0.030858760202945812,0.012797814724829128,31
ecdf,4.0,2.0,0.09961391111699934,0.032089463489258604,0.02646731625619599,32
ecdf,4.0,3.0,0.10287695586824572,0.03192242527158416,0.030104538995131984,33
ecdf,4.0,4.0,0.10083795711232084,0.031704743525554385,0.013801528618368818,34
ecdf,4.0,5.0,0.10208293928524914,0.03161109163114523,0.029002955275097313,35
ecdf,4.0,6.0,0.09878468747055018,0.03189449422192604,0.017567516736311774,36
ecdf,4.0,7.0,0.10238850213077066,0.032754801578459544,0.02679450443251266,37
ecdf,4.0,8.0,0.10386029278864173,0.0322113876463118,0.03898041389402653,38
ecdf,4.0,9.0,0.09795058481221547,0.03193872479721537,0.015070240769144618,39
ecdf,4.0,10.0,0.10229041838469344,0.03186206891899778,0.0322302956508301,40
ecdf,5.0,1.0,0.10117075492866909,0.03161663126264279,0.02534894899813177,41
ecdf,5.0,2.0,0.09852768544554773,0.032212649353843215,0.025078152903540596,42
ecdf,5.0,3.0,0.09882096875272059,0.03177624062589084,0.01225988793898191,43
ecdf,5.0,4.0,0.10712451050487189,0.0319806917271914,0.03942116961265765,44
ecdf,5.0,5.0,0.09929487176278703,0.03199424798046057,0.019305649478877654,45
ecdf,5.0,6.0,0.10733749347006558,0.031092319977554583,0.03319169289440941,46
ecdf,5.0,7.0,0.09892375822566049,0.031142289267390027,0.014849586709710094,47
ecdf,5.0,8.0,0.10018445191784901,0.031751940417846417,0.025787051612147817,48
ecdf,5.0,9.0,0.10435949284380985,0.03242789171923751,0.033387464985881216,49
ecdf,5.0,10.0,0.09971224185042202,0.031858289772835356,0.019276057705076486,50
